Nid,Content,Company,Chapter,Employer,Industry,Contract,Attachments,Contract Template,External ID,ID
893459,,Boston Public Schools,,Adams Elementary,Education,,,,,101203
938834,,,,Adult Education,Education,,,,,101151
893460,,Boston Public Schools,,Alighieri Montessori School,Education,,,,,101206
938839,,,,Alternative Education,Education,,,,,101043
893542,,Boston Public Schools,,Another Course to College,Education,,,,,101605
893508,,Boston Public Schools,,Baldwin Early Learning Pilot Academy,Education,,,,,101367
893462,,Boston Public Schools,,Bates Elementary,Education,,,,,101217
893463,,Boston Public Schools,,Beethoven Elementary,Education,,,,,101219
938841,,,,Behavioral Health Services,Education,,,,,101182
893464,,Boston Public Schools,,Blackstone Elementary,Education,,,,,101223
893560,,Boston Public Schools,,Boston Adult Technical Academy,Education,,,,,101650
893543,,Boston Public Schools,,Boston Arts Academy,Education,,,,,101607
893567,,Boston Public Schools,,Boston Collaborative High School,Education,,,,,101684
893553,,Boston Public Schools,,Boston Day & Evening Academy,Education,,,,,101638
893556,,Boston Public Schools,,Boston Green Academy,Education,,,,,101645
893458,,Boston Public Schools,,Boston International Newcomers Academy,Education,,,,,101190
893546,,Boston Public Schools,,Boston Latin Academy,Education,,,,,101615
893545,,Boston Public Schools,,Boston Latin School,Education,,,,,101612
893475,,Boston Public Schools,,Boston Teachers Union K-6,Education,,,,,101266
938831,,,,BPS Long Term Leave,Education,,,,,101717
938838,,,,BPS Substitute Teachers/Nurs,Education,,,,,101700
893465,,Boston Public Schools,,Bradley Elementary,Education,,,,,101229
893548,,Boston Public Schools,,Brighton High,Education,,,,,101624
893457,,Boston Public Schools,,Carter School,Education,,,,,101165
938880,,,,Channing Elementary,Education,,,,,101239
893550,,Boston Public Schools,,Charlestown High,Education,,,,,101630
938848,,,,Chief Academic Officer,Education,,,,,101033
893466,,Boston Public Schools,,Chittick Elementary,Education,,,,,101247
893467,,Boston Public Schools,,Clap Innovation Elementary,Education,,,,,101249
893541,,Boston Public Schools,,Community Academy,Education,,,,,101603
893561,,Boston Public Schools,,Community Academy of Science & Health,Education,,,,,101656
893468,,Boston Public Schools,,Condon Elementary,Education,,,,,101251
893469,,Boston Public Schools,,Conley Elementary,Education,,,,,101253
893470,,Boston Public Schools,,Curley K-8,Education,,,,,101256
893534,,Boston Public Schools,,Dearborn STEM Academy,Education,,,,,101516
893471,,Boston Public Schools,,Dever Elementary,Education,,,,,101257
893472,,Boston Public Schools,,Dudley Street Neighborhood Charter School,Education,,,,,101258
893504,,Boston Public Schools,,East Boston Early Education Center,Education,,,,,101355
893554,,Boston Public Schools,,East Boston High,Education,,,,,101641
893535,,Boston Public Schools,,Edison Elementary,Education,,,,,101519
893473,,Boston Public Schools,,Eliot K-8,Education,,,,,101261
893474,,Boston Public Schools,,Ellis Elementary,Education,,,,,101262
893461,,Boston Public Schools,,Ellison-Parks Early Education School,Education,,,,,101209
893555,,Boston Public Schools,,English High,Education,,,,,101644
938844,,,,Enrollment Services,Education,,,,,101089
938836,,,,Equity,Education,,,,,101007
893476,,Boston Public Schools,,Everett Elementary,Education,,,,,101267
893565,,Boston Public Schools,,Excel High,Education,,,,,101671
893557,,Boston Public Schools,,Fenway High,Education,,,,,101646
893533,,Boston Public Schools,,Frederick Pilot Middle,Education,,,,,101511
893477,,Boston Public Schools,,Gardner Pilot Academy,Education,,,,,101279
893551,,Boston Public Schools,,Greater Egleston High,Education,,,,,101632
893478,,Boston Public Schools,,Greenwood K-8,Education,,,,,101286
893479,,Boston Public Schools,,Grew Elementary,Education,,,,,101288
893480,,Boston Public Schools,,Guild Elementary,Education,,,,,101290
893481,,Boston Public Schools,,Hale Elementary,Education,,,,,101292
893482,,Boston Public Schools,,Haley Pilot K-8,Education,,,,,101293
893492,,Boston Public Schools,,Harvard-Kent Elementary,Education,,,,,101324
893518,,Boston Public Schools,,Haynes Early Education Center,Education,,,,,101401
938849,,,,Health & Wellness,Education,,,,,101044
938832,,,,Health Services,Education,,,,,101180
893510,,Boston Public Schools,,Henderson K-12 Inclusion,Education,,,,,101373
893483,,Boston Public Schools,,Hennigan Elementary,Education,,,,,101299
893484,,Boston Public Schools,,Hernandez K-8,Education,,,,,101301
893485,,Boston Public Schools,,Higginson Inclusion K0-2,Education,,,,,101303
893538,,Boston Public Schools,,Higginson-Lewis 3-8,Education,,,,,101540
938851,,,,High School Renewal,Education,,,,,101032
893549,,Boston Public Schools,,Holland School of Technology,Education,,,,,101627
893487,,Boston Public Schools,,Holmes Elementary,Education,,,,,101309
893454,,Boston Public Schools,,Horace Mann School for the Deaf and Hard of Hearing,Education,,,,,101064
893488,,Boston Public Schools,,Hurley K-8,Education,,,,,101310
938850,,,,Instr & Info Technology,Education,,,,,101084
893489,,Boston Public Schools,,Kennedy JF Elementary,Education,,,,,101318
893490,,Boston Public Schools,,Kennedy PJ Elementary,Education,,,,,101320
893559,,Boston Public Schools,,"Kennedy, EMK Academy for Health Careers",Education,,,,,101648
893491,,Boston Public Schools,,Kenny Elementary,Education,,,,,101322
893493,,Boston Public Schools,,Kilmer K-8,Education,,,,,101326
893537,,Boston Public Schools,,King K-6,Education,,,,,101534
893495,,Boston Public Schools,,Lee Academy Pilot School,Education,,,,,101329
893494,,Boston Public Schools,,Lee K-8,Education,,,,,101328
893496,,Boston Public Schools,,Lyndon K-8,Education,,,,,101335
893558,,Boston Public Schools,,Lyon High,Education,,,,,101647
893497,,Boston Public Schools,,Lyon K-8,Education,,,,,101339
893562,,Boston Public Schools,,Madison Park Technical Vocational High,Education,,,,,101657
893498,,Boston Public Schools,,Manning Elementary,Education,,,,,101342
893500,,Boston Public Schools,,Mason Elementary,Education,,,,,101346
893501,,Boston Public Schools,,Mather Elementary,Education,,,,,101348
893502,,Boston Public Schools,,Mattahunt Elementary,Education,,,,,101351
893503,,Boston Public Schools,,McKay K-8,Education,,,,,101352
893455,,Boston Public Schools,,Mel King South End Academies,Education,,,,,101079
893505,,Boston Public Schools,,Mendell Elementary,Education,,,,,101356
893539,,Boston Public Schools,,Mildred Avenue K-8,Education,,,,,101548
893506,,Boston Public Schools,,Mozart Elementary,Education,,,,,101364
938842,,,,Multilingual Multicultural Ed,Education,,,,,101107
893564,,Boston Public Schools,,Muniz Academy,Education,,,,,101667
893507,,Boston Public Schools,,Murphy K-8,Education,,,,,101366
893563,,Boston Public Schools,,New Mission High,Education,,,,,101664
893547,,Boston Public Schools,,O'Bryant School of Mathematics & Science,Education,,,,,101618
893509,,Boston Public Schools,,O'Donnell Elementary,Education,,,,,101370
938837,,,,Office of Human Resources BPS,Education,,,,,101070
893511,,Boston Public Schools,,Ohrenberger School,Education,,,,,101376
938847,,,,Opportunity Gaps,Education,,,,,101009
893512,,Boston Public Schools,,Orchard Gardens K-8,Education,,,,,101377
893513,,Boston Public Schools,,Otis Elementary,Education,,,,,101382
893514,,Boston Public Schools,,Perkins Elementary,Education,,,,,101390
893515,,Boston Public Schools,,Perry K-8,Education,,,,,101392
893516,,Boston Public Schools,,Philbrick Elementary,Education,,,,,101394
893517,,Boston Public Schools,,Quincy Elementary,Education,,,,,101398
893540,,Boston Public Schools,,Quincy Upper,Education,,,,,101551
938846,,,,Road to Success,Education,,,,,101047
893519,,Boston Public Schools,,Roosevelt K-8,Education,,,,,101404
893520,,Boston Public Schools,,Russell Elementary,Education,,,,,101406
893544,,Boston Public Schools,,Ruth Batson Academy,Education,,,,,101609
938833,,,,School Support,Education,,,,,101801
893523,,Boston Public Schools,,Shaw-Taylor Elementary,Education,,,,,101422
893552,,Boston Public Schools,,Snowden International High,Education,,,,,101633
938830,,,,Special Education,Education,,,,,101170
938840,,,,Student Support,Education,,,,,101169
893456,,Boston Public Schools,,Succeed Boston,Education,,,,,101091
893522,,Boston Public Schools,,Sumner Elementary,Education,,,,,101420
938843,,,,Teaching & Learning,Education,,,,,101018
893566,,Boston Public Schools,,TechBoston Academy,Education,,,,,101674
893524,,Boston Public Schools,,Tobin K-8,Education,,,,,101426
938845,,,,Transportation,Education,,,,,101081
893525,,Boston Public Schools,,Trotter Elementary,Education,,,,,101428
893526,,Boston Public Schools,,Tynan Elementary,Education,,,,,101432
893532,,Boston Public Schools,,Umana Academy,Education,,,,,101504
893499,,Boston Public Schools,,UP Academy Dorchester,Education,,,,,101343
893486,,Boston Public Schools,,UP Academy Holland,Education,,,,,101307
893528,,Boston Public Schools,,Warren-Prescott K-8,Education,,,,,101434
893529,,Boston Public Schools,,West Zone Early Learning Center,Education,,,,,101435
893530,,Boston Public Schools,,Winship Elementary,Education,,,,,101436
893531,,Boston Public Schools,,Winthrop Elementary,Education,,,,,101438
893527,,Boston Public Schools,,Young Achievers Science & Math K-8,Education,,,,,101433